_21yVx-fAKiXl0st1PBpJQ,"Biltmore Ear, Nose and Throat",address,Goodyear,AZ,85395,33.4637021,-112.3504484,2.5,22,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'True'}","Health & Medical, Ear Nose & Throat, Doctors, Pediatricians, Allergists","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}"
_2D94Xl3yvokJV-9VUZw4g,C & A Nails & Spa,address,Surprise,AZ,85374,33.640494,-112.361627,2.5,27,1,attributes,"Nail Salons, Beauty & Spas",
_2eom7YRiBK1ba2MFJGjvA,Thompson Moving,2404 E Bell Rd,Glendale,AZ,85306,33.6222797,-112.1728283,4.5,15,1,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True'}","Movers, Home Services",hours
_2IDg76ltIEkoi691jocAw,Parched Eagle Brewpub,address,Waunakee,WI,53597,43.1505854,-89.4161642,3.5,12,1,attributes,"Nightlife, Pubs, Food, Brewpubs, Bars, Breweries","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-19:0', 'Sunday': '11:0-18:0'}"
_2jq1pu7XuKFylIsJZkc1A,O'Reilly Auto Parts,address,Las Vegas,NV,89102,36.1534508,-115.2073495,4,11,1,{'BusinessAcceptsCreditCards': 'True'},"Automotive, Auto Parts & Supplies",hours
_2o8c8SqTaCvhHi7K1HqhA,Monorchid,address,Phoenix,AZ,85004,33.4589885,-112.0704862,4.5,44,1,"{'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': True}"", 'WheelchairAccessible': 'True', 'DogsAllowed': 'True'}","Shopping, Nightlife, Venues & Event Spaces, Video/Film Production, Arts & Entertainment, Shared Office Spaces, Professional Services, Art Galleries, Home Services, Event Planning & Services, Real Estate, Music Venues",hours
_2RhdxPmKnf8nVwAsI7Pzw,Eden,address,Montréal,QC,H2X 3P9,45.5105484,-73.5748413,4,33,1,"{'RestaurantsPriceRange2': '3', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'False'}","Fruits & Veggies, Specialty Food, Food, Grocery","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '10:0-19:0'}"
_2sW-m_rQgBhBlVRYQRIzw,Courtyard by Marriott Scottsdale Old Town,address,Scottsdale,AZ,85251,33.48609982,-111.9257118,3.5,48,1,attributes,"Hotels, Event Planning & Services, Venues & Event Spaces, Hotels & Travel","{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0'}"
_3_bRY1o7xd9XOP8i4OHJw,Sur La Table,address,Madison,WI,53705,43.073388,-89.453017,4,20,1,attributes,"Shopping, Arts & Crafts, Home & Garden, Cooking Classes, Kitchen & Bath","{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:0-19:0'}"
_3IE9guLHvAr-kJpH4Zd7Q,Urbun Eats Co,address,Toronto,ON,M4G 2L1,43.71367038,-79.36509242,4.5,19,0,"{'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Alcohol': ""u'none'"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsTableService': 'False', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'NoiseLevel': ""'average'"", 'DriveThru': 'False', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'False', 'HasTV': 'True'}","Burgers, Poutineries, Restaurants, Fish & Chips","{'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-15:0'}"
_3rJXHNQsnMnG-M8MHRkhg,Sidebar,"1855 E Guadalupe Rd, Ste 107",Toronto,ON,M4K 1N2,43.6762939,-79.3568142,4,13,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Sports Bars, Cocktail Bars, Pizza, Bars, Nightlife, Restaurants, Italian, Tapas Bars",hours
_3zAG1TnRQrvD4RpGJ6Vrg,USO Arizona,address,Phoenix,AZ,85034,33.4352284,-111.9978273,4.5,41,1,attributes,"Public Services & Government, Local Services, Hotels & Travel, Community Service/Non-Profit, Travel Services","{'Monday': '10:0-15:0', 'Tuesday': '10:0-15:0', 'Wednesday': '10:0-15:0', 'Thursday': '10:0-15:0', 'Friday': '10:0-15:0', 'Saturday': '10:0-15:0', 'Sunday': '10:0-15:0'}"
_3ZmaFN_Ld9u5CTEaxLr8g,Canada Computers,address,Brampton,ON,L6W 4K6,43.70620136,-79.73521173,2.5,13,1,attributes,"Shopping, Computers, Local Services, IT Services & Computer Repair","{'Monday': '9:30-21:0', 'Tuesday': '9:30-21:0', 'Wednesday': '9:30-21:0', 'Thursday': '9:30-21:0', 'Friday': '9:30-21:0', 'Saturday': '9:30-19:0', 'Sunday': '10:0-19:0'}"
_4KbTU8rSnPeoGU8veK0Pg,The Backpackers Shop,address,Sheffield Village,OH,44054,41.4648423,-82.0835243,4.5,21,1,attributes,"Fishing, Climbing, Rafting/Kayaking, Shopping, Active Life, Sporting Goods, Outdoor Gear",hours
_4KoAOFWFBu7xCoKtZfv6A,McAlister's Deli,"2910 N Power Rd, Ste 101",Fort Mill,SC,29708,35.028415,-80.967694,3,26,1,"{'WiFi': ""u'free'"", 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'False'}","Salad, Delis, Sandwiches, Restaurants",hours
_4rLRRCAmKV99MKaf2lehg,Build-A-Bear Workshop,address,Chandler,AZ,85226,33.301672,-111.898155,4,16,1,attributes,"Shopping, Toy Stores","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:0-22:0'}"
_4vjkw-LjpqQyxU4rHtwBA,Anne Springs Close Greenway,address,Fort Mill,SC,29715,35.039357,-80.943151,4.5,47,1,attributes,"Hiking, Horseback Riding, Active Life, Parks","{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-22:0'}"
_4zFDLCB8Ukz9JaJnzTi4g,Papa Murphy's,address,Huntersville,NC,28078,35.4060152,-80.8650936,4,25,1,"{'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'none'"", 'RestaurantsTableService': 'False', 'NoiseLevel': ""'quiet'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""'no'"", 'RestaurantsReservations': 'False', 'HasTV': 'True'}","Gluten-Free, Pizza, Restaurants",hours
_5_tlNejFd5WAu5-TnwfvA,Hanin Artistry,address,Fairview Park,OH,44126,41.4405284,-81.8663255,4.5,19,1,attributes,"Shopping, Hair Removal, Sugaring, Threading Services, Beauty & Spas, Cosmetics & Beauty Supply, Eyelash Service, Waxing","{'Monday': '0:0-0:0', 'Tuesday': '16:30-21:30', 'Wednesday': '16:30-21:30', 'Thursday': '16:30-21:30', 'Friday': '16:30-21:30', 'Saturday': '16:30-21:30', 'Sunday': '16:30-21:30'}"
_571ZIzE_onPsJxtrWoqug,"WOW! Internet, TV and Phone",address,Berea,OH,44017,41.37116805,-81.89160125,1.5,38,1,attributes,"Telecommunications, Television Service Providers, IT Services & Computer Repair, Local Services, Home Services, Professional Services, Internet Service Providers","{'Monday': '0:0-0:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0'}"
_58OWmDQ7IUFe8WnKvwzhw,Tinta Mexicana,address,Tempe,AZ,85282,33.38312323,-111.9644849,2.5,34,1,"{'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'HasTV': 'False', 'NoiseLevel': ""u'average'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'no'"", 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'RestaurantsTableService': 'False', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Food, Restaurants, Mexican","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}"
_5f7HpdqYULll6M0TaD1ew,Beyond Pest Control,address,Las Vegas,NV,89139,36.05486934,-115.2424417,5,34,1,"{'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Local Services, Pest Control","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
_5HVzDRdS5bqOHIxGaaZwA,TJ Maxx,address,Gilbert,AZ,85233,33.3772993,-111.8133546,4,20,1,attributes,"Accessories, Shopping, Jewelry, Home & Garden, Fashion, Women's Clothing","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}"
_5jxYOsRPh3GDA7vzu2mZw,Amano Kitchen,1060 S Ct St,Newmarket,ON,L3Y 4Z1,44.056121,-79.485504,3,14,1,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Italian, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-17:0', 'Friday': '11:0-20:0', 'Saturday': '8:0-17:0', 'Sunday': '10:0-16:0'}"
_5McjQXLCBxZgxhW8sfrjQ,Wild Wing,525 S Grand Central Pkwy,Toronto,ON,M2N 5S3,43.7780873,-79.414803,3,38,1,attributes,"Food, Specialty Food","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '10:0-20:0'}"
_5p2MuUnX7aYIh0c1WHg1w,Texas Ranch Steak House,"5597 S Rainbow Blvd, Ste140 A",Charlotte,NC,28262,35.2804915,-80.7929172,3.5,23,0,attributes,"Steakhouses, Restaurants",hours
_5WK3TKSn5mgNa__HstCXg,Perfectly Polished,address,Mint Hill,NC,28227,35.17140844,-80.65719701,4.5,45,1,attributes,"Beauty & Spas, Waxing, Eyelash Service, Nail Salons, Hair Removal, Skin Care","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '10:0-19:0'}"
_5XClj4E5VCIsEscbrrPKg,LoPan,address,Toronto,ON,M6G 1A5,43.655849,-79.4098724,4,24,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'loud'"", 'Smoking': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'HappyHour': 'False', 'RestaurantsAttire': ""'casual'"", 'CoatCheck': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'RestaurantsTableService': 'True', 'GoodForDancing': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'full_bar'"", 'GoodForKids': 'False'}","Bars, Nightlife, Asian Fusion, Cocktail Bars, Restaurants, Chinese",hours
_6agShdUe17ftw_xHo26IA,Poulet Bronzé,address,Montréal,QC,H3H 1G9,45.4958228,-73.5805705,3.5,36,1,attributes,"Chicken Wings, Halal, Restaurants, Fast Food",hours
_6eGIZJNgEM-gVVfWcGghg,Manhattan Deli,address,Mentor,OH,44060,41.67353378,-81.32095905,3.5,46,1,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'None'}","Sandwiches, Delis, American (Traditional), Restaurants","{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0'}"
_6KeQG5LVVLFvvXkoLZITQ,Alterations & Creations by Flor,address,Surprise,AZ,85388,33.6268095,-112.432251,5,29,1,"{'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Fashion, Women's Clothing, Shopping, Sewing & Alterations, Men's Clothing, Local Services","{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '7:0-19:0', 'Sunday': '7:30-18:0'}"
_6KWB_ztjZ9yv7T6KPaZ8w,Apache Plumbing Services,address,Phoenix,AZ,85015,33.5380198,-112.1113499,5,12,1,attributes,"Water Heater Installation/Repair, Plumbing, Home Services, Contractors, Local Services, Hydro-jetting",hours
_79Rh-ZHS_0TTXBdIsslQA,The Bagel House,address,Toronto,ON,M4G 3B6,43.7048197,-79.3749946,4,46,1,attributes,"Food, Bagels",hours
_7m0JfJcYcwvPhxx1fLFsg,Homesense,address,Etobicoke,ON,M9C 5H5,43.616086,-79.5599945,3.5,13,1,attributes,"Rugs, Home Decor, Home & Garden, Shopping, Kitchen & Bath","{'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '7:0-20:0', 'Sunday': '7:0-20:0'}"
_7OgT34DcGqWX2CKr3ekCQ,Allyson Tang Optometrist,address,Vaughan,ON,L4H 3T8,43.828215,-79.5500107,4.5,14,1,"{'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Shopping, Eyewear & Opticians, Health & Medical, Optometrists","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
_7UhkVW3uWM0T5BQ1Rkbhg,Great Clips,address,Phoenix,AZ,85027,33.6532463,-112.1010799,3,16,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BikeParking': 'True'}","Hair Salons, Beauty & Spas, Barbers",
_7YEFpw3p2yoThs4r-cqDQ,Distinctive Salon and Spa - Mesa,1046 Rue Drummond,Mesa,AZ,85215,33.4684492,-111.6855205,4.5,36,1,"{'ByAppointmentOnly': 'False', 'BikeParking': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Massage, Beauty & Spas, Skin Care, Cosmetics & Beauty Supply, Shopping, Hair Stylists, Hair Extensions, Hair Salons, Health & Medical, Acupuncture",hours
_7zo5GCOo_5vY9J8fZ_8lA,Autobell Car Wash,address,Gastonia,NC,28054,35.2337828,-81.1683114,3,16,1,{'BusinessAcceptsCreditCards': 'True'},"Automotive, Car Wash","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-15:0'}"
_8FBbpgaNKy3PC1o_NxViA,St. Sharbel Maronite Catholic Church,address,Las Vegas,NV,89183,36.0025484,-115.1666368,4.5,10,1,"{'ByAppointmentOnly': 'None', 'BusinessAcceptsCreditCards': 'None'}","Churches, Religious Organizations","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-19:0'}"
_8HzIslOdrED7JQF2DU2fg,Subway Restaurants,address,Phoenix,AZ,85020,33.5671571,-112.065592,2.5,28,1,"{'RestaurantsReservations': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""'average'"", 'Caters': 'False', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'True'}","Sandwiches, Restaurants, Fast Food",
_8RwgNjUPTQlr3_TKCd9vQ,Xpert Alterations,address,Northfield,OH,44067,41.3411589,-81.522659,5,16,1,"{'BusinessAcceptsCreditCards': 'False', 'BusinessAcceptsBitcoin': 'False'}","Sewing & Alterations, Event Planning & Services, Local Services","{'Monday': '11:0-19:30', 'Tuesday': '11:0-19:30', 'Wednesday': '11:0-19:30', 'Thursday': '11:0-20:0', 'Friday': '11:30-20:30', 'Saturday': '12:0-20:0'}"
_94oYdTEp7dTOMtUqZexXw,Marianas Markets,address,Las Vegas,NV,89107,36.17565983,-115.2238899,3,13,1,attributes,"Food, Grocery",hours
