id,review_id,user_id,business_id,stars,useful,funny,cool,text,date,expert,,,similarity matrices - not accounting for word count,,,,
10,iR-kRV_Xmp-40rUHFSaQ0A,ClTs8NI1TCcTTXivOXppyg,-5Kbw0m7lpLDAQSX5t-fVA,1,3,0,0,I had an almost identical experience to Denise S. below. It was incredibly sad considering that I was almost in tears regarding the cost of the implant I need. They did not even do anything except a delightfully brief cleaning and several nonconsentual x rays which they insisted was covered by my insurance.\n\nNow I am being asked for $700 and  I still haven't had any real work done. I've been saving up $4k for an implant.\n\nThis is a slap in the face and I would recommend this company trade in their glossy presentation and superfluous Netflix offerings for ethical business practice.,2/13/2018 5:03,no,,,0.048094255,0.048681322,0.061364202,0.087580479,1
,,,,,,,,,,,,,,,,,
11,oDCbabjrCEQ7QsePoEiayA,on5NPf-_C0o03pYLSLaalw,-5Kbw0m7lpLDAQSX5t-fVA,5,3,1,6,"These guys are great dentists. Their office is actually outside of my insurance's network, but I've been getting my dental care there anyway because Williamsburg Smile Design's dentists are so good, and the medical technology they use is state-of-the-art.  \n\nAnd I figure, it's my teeth -- and I only get one pair.  So I'm going to the best dental office, instead of the one that my insurance company wants me want to visit.\n\nI've been to several dental offices in recent years.  Williamsburg Smile Design is the best of the lot, no doubt about it.",11/17/2017 1:53,no,,,1,0.05336384,0.072189559,0.084461463,0.171065959
12,HhZETxA3y5PEB__yJXeUjQ,JyZ08fuz78w3Yez2OPRO5Q,-5Kbw0m7lpLDAQSX5t-fVA,1,4,0,0,"Total hack of a dentist- got a bunch of fillings done, recently switched dentists and was told the fillings (note multiple) were done poorly. Most fillings should last 7 years and mine lasted less than 2. I was told the composite was all exposed and that edges were done roughly. Now I'm back to paying to get them all done.",11/6/2017 23:33,no,,,0.05336384,1,0.014204612,0.024120717,0.026961923
13,t3ega5P1seEZdQuCr6WTxQ,qv7u3Mxvmh386HW1DLcrRA,-5Kbw0m7lpLDAQSX5t-fVA,1,6,0,0,"I am really not happy with them. I phoned them up to ask if they would take my dental plan because I wanted my teeth cleaned. They did and said if I would come in just for cleaning my plan would cover it. \n\nSo I went in for 10 min they cleaned it and for 40 minutes they kept on taking pictures and pictures of my mouth. Last week I received an unexpected letter: the bill was $670.... and my health insurance only covers a part so I need to pay them around $300. So what they were saying was absolutely a scam. The cleaning wasn't that good, 10 minutes??? So you come in for a few minutes of cleaning and end up with a bill of $600. Whats wrong with this world? \n\nDon't let them fool you when they say a free ""consultation"".",11/3/2017 15:47,no,,,0.072189559,0.014204612,1,0.162499439,0.134253015
14,__l9GDtkgLWYBYq-t5zs5g,GVpKw6seyGCGAcpkuWug7g,-5Kbw0m7lpLDAQSX5t-fVA,5,2,0,0,"I think the bad reviews here are almost malicious and are a 180 degree difference from my experience at this place. My experiences at Wburg Smile Design: I have always, repeat... every single time: been informed every step of the way how much something would cost and how much my insurance was going to cover. No one has ever been pushy with me about what procedures I needed to get or didn't need to get. I'm sorry to say it but most dental plans suck and barely cover anything - so this is the real problem. But in cases where my plan didn't cover something I was given a pretty steep discount. I have had bad experiences with dentists, doctors, and hospitals before so I know what an actual bad experience is. This place is not that. If you aren't sure how much something will cost or if you really need a procedure, just ask. I have been coming here for about 5 years and have never had what I'd consider a bad experience. No one has ever been rude - in fact far from it and my teeth and gums are better than they were before I started coming here.",10/24/2017 15:57,no,,,0.084461463,0.024120717,0.162499439,1,0.071581042
15,28hn-tt-r-9Gw0-XF77gXw,IlNqLlggyTaOczD-FKHrXQ,-5Kbw0m7lpLDAQSX5t-fVA,5,5,0,0,"This is absolutely the most comfortable i've been at a dentists office before. Natalie at the front desk is caring and sweet and when I was nervous about getting certain work done, she recommended I come in for a 2nd review and it absolutely put me at ease. Kelly the dental assistant is also extremely sweet and caring. \n\nThey have a great deal where for $350 you get two cleanings a year and 15% off any other needed services. I think this is fantastic value, and it also includes the above recommended examination outside of the cleaning, just to get an opinion.",8/9/2017 15:25,no,,,0.171065959,0.026961923,0.134253015,0.071581042,1
,,,,,,,,,,,,,,,,,
16,o_AAQ-qa3vrou5ZxtRejSg,6htkgsj1_yKtNka_Q42mjA,-5Kbw0m7lpLDAQSX5t-fVA,5,0,0,0,"I had a wonderful experience with this office. The dentist made my smile look wonderful again, and the administrative staff were professional and courteous. They helped me over the course of two days to resolve a billing/insurance issue that I was dealing with, and were extremely patient and understanding! I highly recommend this place.",8/3/2017 22:14,no,,,1,0.084463799,0.016677586,0.053672875,0.08318229
17,qUkAnqqGBFqyS5qJrOdjqg,8JMLrvfhWwa5Txv-LalZMA,-5Kbw0m7lpLDAQSX5t-fVA,1,5,0,0,Agreed with negative review below. The staff that is constantly up-selling you on getting more work done. This isn't what medicine is supposed to be about. Beyond being pushy the staff doesn't do any diligence to coordinate with the insurance company to make sure you are covered. This is the only medical experience I've ever had where you're constant guessing what the price is. Ludicrous. Wish i would have read the other negative reviews below. I don't make it a practice to write bad reviews because I know most people try their best but this is a worthwhile exception. Find another dentist.,7/10/2017 20:25,no,,,0.084463799,1,0.162373056,0.097332227,0.135443855
18,m041oTceaFwJxyTaT3HN4w,qOfyba1cHrzivzuNDZD-ZQ,-5Kbw0m7lpLDAQSX5t-fVA,5,4,2,0,"Wow. I am shocked to read these bad reviews! \nI have NEVER felt taken advantage of here, and I am a pretty shrewd and informed consumer. \nI have been going here for about 4 years (started with a groupon cleaning and now they have done lots of work for me) and have always felt the dentist/owner (Dr. Mapes) has lots of integrity, does good work, and that the staff is responsive and competent. \nI have never felt over-charged, lied to, etc. And I appreciate the quality of Dr. Mapes' work and that of his staff. Sad and strange to read these reviews- although you never know with Yelp. These angry people are probably vendors who feel they got stiffed or something...",5/19/2017 17:55,no,,,0.016677586,0.162373056,1,0.029791233,0.079913871
19,Fw_xrzLos6HREYwpqN6YoA,96virpuQTVZPU5cRB5SHZw,-5Kbw0m7lpLDAQSX5t-fVA,1,5,1,0,"Seriously, one of the worst dental experiences I've ever had. Staff is misleading, I went in for a root canal and the quoted price was $1000. I began receiving invoices for additional charges, which I'm still on the hook for. Do yourself a favor, find another dentist.",5/2/2017 2:04,no,,,0.053672875,0.097332227,0.029791233,1,0.090985769
20,miRpFYjEXxy3t-VQNH2VKA,Y8QrFuXOWkhnt7-ujTK1AQ,-5Kbw0m7lpLDAQSX5t-fVA,1,12,0,0,"In short: SCAM. \n\nIf incompetent dentists who will tell you you need work you don't actually need, do a terrible job and then overcharge you for it is what you're looking for then this place is for you. \n\nLike many other reviewers, I was told I had cavities I didn't have. Too bad I was late to find that out. Had to go back a few times to fix the fillings and the dentist still didn't get it right. I was told one price and then two weeks later that price had more than doubled.  Don't be fooled by the positive reviews. There are enough terrible reviews here for you to be suspicious of the great ones ( this is a good yelp rule in general). \n\nI've never been this mad with a doctor/ dentist before in my life. But this goes beyond incompetence. Like another reviewer, I also want to report this place to the ADA for unethical behavior. \n\nDo yourself a favor and stay away from this place.",5/1/2017 14:32,no,,,0.08318229,0.135443855,0.079913871,0.090985769,1
,,,,,,,,,,,,,,,,,
21,RXPGMxvxlqd0nYJOUAITmg,zv8ajW1ujuWkQRJW3aACsg,-5Kbw0m7lpLDAQSX5t-fVA,4,2,0,0,"After being a happy patient for a couple of years I was very upset when I had to write a bad review from a terrible experience a couple months ago. However, I was contacted by the owner and after talking about it and making things right, I am going to give this place 4 stars for now. I am going to give this place a second chance and see how it goes. I really appreciate the owner reaching out and dealing with me directly. It shows professionalism and that they do care. Before the bad review a couple of months ago, I will say, I really liked the service and thought the hygienist was great. I hope the service is comparable when I go back and I can switch this to 5 stars. Thanks!",3/27/2017 21:23,no,,,1,0.023633252,0.170376585,0.086568682,0.064875612
22,CEoHwr24_8lAgvPqFMfL6A,oTdp6_xEi_18hRp17F6TZA,-5Kbw0m7lpLDAQSX5t-fVA,5,4,0,0,Professional and helpful. Helped me with a very painful root canal. Front-desk staff was cery friendly and transparent with costs and payments and very helpful in finding appointment times. The procedures themselves went very well despite the pain and I would trust them to do more work on my teeth and to advise me honestly. Great place!,3/27/2017 18:12,no,,,0.023633252,1,0.050933623,0.072052988,0.050203403
23,nz1caGLKNPQtjVD57qe_mA,jx_XRSDWOc95Zvts98IPCA,-5Kbw0m7lpLDAQSX5t-fVA,1,8,0,1,"STAY AWAY! Like many other reviewers I was told had cavities when several other dentists saw nothing.  I was stupid and got three fillings there. I asked how much it would cost me and was given a price. I paid in full.  Two weeks later, I receive a phone call saying I owed 3 times that amount. Now I have to pay for it or will have my credit rate lowered (that was the threat from their debt collector).\n\nOh yes, and I also had to have fillings (all of them!) redone (in a different place, of course). \n\nThis place is a total scam. They must have paid for the good reviews. Do not ignore all the really bad reviews.  They're real. It's always suspicious when there are only great and terrible reviews. \n\nI like to read reviews and I thought people could benefit from this. Hopefully you won't go thru the same thing. These people just want your money.",3/20/2017 19:10,no,,,0.170376585,0.050933623,1,0.077941433,0.143251561
24,nksfm37Q05aeIza96LLtrg,m2NeT3Sbd7zdTpddPDejxA,-5Kbw0m7lpLDAQSX5t-fVA,1,4,0,0,"It's amazing how many people are having the same bad experience here. I came in for a cleaning and thats when they got me. I recieved painful, expensive, poorly done work that wasn't nessasary. This place is untrustorthy and I will be complaining to the American Dental Society, Commission on Dental Accreditation and everyone I know about this place in hopes that noone goes through the same thing I did. Do yourself a huge favor and go somewhere els.",3/19/2017 19:46,no,,,0.086568682,0.072052988,0.077941433,1,0.118270612
25,7Wm0fijEPfk97NA9g4PWFA,GBLzfwoqnwPuP7RwdPqpA,-5Kbw0m7lpLDAQSX5t-fVA,1,6,0,2,"Please do not go here. You will regret it. Do not be fooled with the modern waiting area and friendly receptionists. The dentists do not know what they're doing. \n\nI went to Smile Design during the spring of 2015 for a check up and cleaning. My last dentist appointment was a year prior to this and decided to change because of proximity to home. The initial dentist at Smile Design recommended a crown replacement (which wasn't bothering me at all by the way) but she suggested it was corroding and a small cavity filling on another lower tooth.\n\nI decided to go ahead with both recommendations. Big mistake. The crown fitting took 5 times (a different dentist saw me) and then once it was placed, I had to return three times within 6 months because it kept falling off. One dentist even recommended that I don't chew on the side of the crown which was ridiculous. I chewed on the previous crown for ten years with no issues. AND...where they drilled my cavity (which was done by another different dentist) I have continued sensitivity issues to this day. \n\nI went back to my old dentist who is a well respected dentist in New York and a teacher at NYU Dentistry and on the Board of the American Dental Society and he said that first of all, there was no reason to replace my crown. It was perfectly fine. And the drilling was done too close to the nerve. He has to replace my crown and he already re-drilled my cavity to place a sealant. \n\nI filed for a peer review with the American Dental Society and Dr. Mapes' office never returned the signed papers. I lost the case because too much time lapsed. Now I have to pay for another $2,000 crown procedure and I already paid another $600 for the cavity re-filling. \n\nClearly, this was a money making scheme and the lack of professionalism and experience was very very clear from this experience.",2/12/2017 14:07,no,,,0.064875612,0.050203403,0.143251561,0.118270612,1
,,,,,,,,,,,,,,,,,
26,MFc3_Ziz99guonKR0bt3DA,eNv1Yhk7F8REKf76jeSDZw,-5Kbw0m7lpLDAQSX5t-fVA,1,9,0,0,"There are countless other reviews on this yelp page detailing this scam artist's practice of filling cavities that don't need to be filled. What kind of horrible person does that for money? The reason I took the time to write a review is to warn others in the hope that they will avoid the pain and embarrassment of falling victim to a scam. It infuriates me every time I remember this experience and know that there are two expensive holes in my teeth that never needed to be drilled. If my reviews save even one person from giving money to this awful business it was worth my time.\n\nAlso, you'll notice that in his response he accuses me of lying about the cost of the dental work I had done. My cleaning was $200, and I had two cavities filled at a cost of $360 each, which brings my total cost to $920. Of course the kind of person who performs unnecessary dental work on his patients to buy himself a luxury car wouldn't hesitate to lie about the cost of his services.\n\nBurn in hell you piece of shit. Karma is coming for you.",12/31/2016 20:52,no,,,1,0.081096029,0.112689417,0.084971588,0.140831801
27,ZfaTi_xonACYp3HMnr5jew,zv8ajW1ujuWkQRJW3aACsg,-5Kbw0m7lpLDAQSX5t-fVA,1,10,2,1,This place will take your money and the owner is the worst business owner because he doesn't deal with clients directly. Their policy is undisclosed and it is a fraud! Do not make any appointments for this awful dishonest practice or you will lose all of your money and they wont care!,12/17/2016 16:36,no,,,0.081096029,1,0.066731104,0.015272562,0.045345479
28,6bEB1cUkWG9jVODpDPPziQ,bxXeiGUrbMt0UjFu4CCfBw,-5Kbw0m7lpLDAQSX5t-fVA,1,10,3,1,"I agree with all of the other reviews. I purchased a Groupon to have my teeth cleaned and was told I needed $1500 of work. I declined to have any of it done and saw a different office a couple of months later who told me I didn't need any of it. Bunch of scam artist and the doctor thinks who the hell he is. \nNot a fan and I'll never be back along with 90% of the other reviewers. Even how he replies to some people who are complaining here on Yelp is comical for a business owner. People complain and he pretty much says ""see ya. Don't let the door hit you in the ass on your way out"".... good luck staying in business guy.... might have to trade the Benz in for a Kia soon. \n\nCheers",10/12/2016 4:38,no,,,0.112689417,0.066731104,1,0.085037899,0.052833477
29,51_YdlWG6SBxksBDepxeAw,5MQvbF3YnqUxnaTAZRzGVQ,-5Kbw0m7lpLDAQSX5t-fVA,2,1,1,0,"Got a groupon and the cleaning was great. (Hence the two stars). It was my first time there and I'm always cautions about new dentists. After the x-rays I was told by the dentist that I had 6 cavities to be filled. I said ok thank you and then I returned to my previous dentist when I visited my parents and I got x-rays and an exam just to make sure. Guess what. No cavities. None. I just have naturally deep groves in my teeth that get stained easily. Just be careful, it's a nice office and they need to pay their rent...",6/15/2016 4:41,no,,,0.084971588,0.015272562,0.085037899,1,0.217629364
30,ZkHfHdbphB8U5M6gzsplcQ,x6S-rTVrT-VaWW6wrI7n7Q,-5Kbw0m7lpLDAQSX5t-fVA,1,9,0,0,"Do not go here. Find another dentist. If you were having second thoughts or perhaps you wanted to just get an idea of what others thought...let me assure you, YOU SHOULD find another dental office.\n\nWilliamsburg Smile Design will royally screw you when billing time comes. They have super fancy offices, so I suppose they are trying to recoup on costs for that?\n\nSat down with a hygienist who tried to shame me into getting pricier work done. She also pulled out a few scare tactics like ""I just don't want to have to tell you one day that we will have to cut your gums open""....My choppers don't have that celebrity sparkle, but I know for a fact that i'm not on the brink of periodontal disease. Also, you will never have to tell me that one day because i'm not coming back.\n\nI had a VERY basic 20/30 minute cleaning (which normally runs between $60 - $100) but they billed my insurance for a scaling/root planning- which costed $225. If you aren't familiar -- that means I was billed for a DEEP CLEANING; which normally takes 1-2 hours over the course of 2 separate visits. \n\nAdditionally, I was billed $225 for a ""Comprehensive Oral Evaluation""- a procedure that normally prices in the range of $60. I had my x-rays sent over from my previous dentist because they were done only 2 months prior, the hygienist reviewed them but never checked for oral cancer and never examined my neck and jaw for abnormalities- just continued to tell me how much work I needed while she performed the VERY basic cleaning. \n\nI did not have x-rays done AND I didn't have a complete ""comprehensive oral evaluation""-- but was billed $225?? \n\nAlso- exams AND cleanings are the same price, ehh?? Really feels like a scam and i'm feeling like an idiot for not doing more research on them before making an appointment. Don't make the same mistake I did.\n\nUnless, of course....you have a shit ton of money to spend out of pocket for subpar dental care? Even if you have insurance, they will code procedures accordingly to not only squeeze your provider for bucks but you as well. Be careful, even if your insurance covers 100%-- it could jack up your premiums and/or max out your plan.",6/4/2016 2:17,no,,,0.140831801,0.045345479,0.052833477,0.217629364,1
,,,,,,,,,,,,,,,,,
31,hrlcihFRsvvZwJUEkaoy_Q,7hocoYPx620g_V_ij0Q3dw,-5Kbw0m7lpLDAQSX5t-fVA,4,2,0,0,"I enjoy coming to Williamsburg smile. It has a nice, open energy and the staff is polite. \nI came in suddenly (zocdoc)for 2 wisdom teeth to be pulled ASAP. I came back the following week to have them pulled and Ian was very efficient and nice. If I had a stop watch he had them both pulled within 20 mins. \nI just recently had my cleaning done and she was so very kind and personable. I was pleased. \nThe only downside I saw was wanting to give me a X-ray for 1 last wisdom tooth I have. I declined until after my travels and I felt I was being pressed about it. \nAll in all, I would recommended Smile. My experience as a client is that it is up to par.",5/3/2016 3:27,no,,,1,0.079252587,0.028083582,0.125361595,0.057303497
32,NlhnnSCngWPGy6XDbm4few,GFW_BAfQ5c4RvGzFxSH4Rg,-5Kbw0m7lpLDAQSX5t-fVA,1,5,0,0,"SCAM! They are a rip off and try to charge you unnecessary amounts of money for nothing!\n\nI went to Williamsburg Smile Design for a cleaning. They took x-rays of my teeth and told me I had 2 cavities that were in between my teeth. When they showed me the x-rays, I honestly couldn't even see the cavities. Then they told me I would have to pay them $360 per tooth to fill the cavities, equaling $1440.\n\nI took the x-rays to my regular doctor in PA who said that the cavities were so small that it would do more harm than good to fill them.\n\nThank god I showed the x-rays to my other doctor. I will never go back.",3/21/2016 18:17,no,,,0.079252587,1,0.035972886,0.032703502,0.134337521
33,SfQs-esHQdEzX70zf6LRjw,Ow9uF8OyojbDeaugaOmJvA,-5Kbw0m7lpLDAQSX5t-fVA,1,4,0,0,"I contacted this office to make an apt and check my insurance. \nThe receptionist was very polite on the phone and quickly took down my information. \nShe assured me she would call me back.\nShe did not. \n\nThey next day I called again, and she apologized but she had not gotten around to it yet.\nI offered to call my insurance myself to try and be helpful, it only takes a few minutes really, but she declined and promised to call this time.\n\nThree days passed and no word.\n\nI took the liberty of making my own appointment on ZocDoc. \nI show up for my 4pm apt, confirmed via email that same morning.\n\nI WAS TURNED AWAY FROM MY APT!!!!!\n\nReason being... they had a 3pm patient who was running late so they put them into my slot.\nUmmmm....WHAT?\n\nI asked to speak to the office manager, who in turn provided a completely different explanation of why I was bumped off the schedule.  She stated that ZocDoc sent an automatic confirmation & the service does not account for the type of appointment booked, ie. cleaning vs. full consult, xrays, etc. They decidedly cancelled my apt, on their own accord without my approval, because they were not sure what I needed done??? \n\nThis is a highly unprofessional way to run a practice. This is NYC, we are all important, we are all busy, and we all want things done yesterday. I took the time out of my day to go to the dentist and was utterly refused at the door. WOW!\n\nLastly, I got an alert from ZocDoc to my phone with a penalty for ""MISSING MY APT""\nI called ZocDoc to explain and they notified me that the office reported me as a ""NO SHOW""\nHow sneaky and dishonest! That is a flat out lie.\n\nYou can apologize if employee is busy, and you can motivate them if they are lazy, but you can not unlearn dishonesty. A liar is a liar. \n\nI can not speak for the skills of the dentist, but if his office staff is a reflection of him... \nVERY POOR\n\nWhat a waste of time!",11/20/2015 23:42,no,,,0.028083582,0.035972886,1,0.088300969,0.083466898
34,C_mq1XVQNz71wSyGD2kY0Q,Cov29C_j3qpzjr3KIF9-1g,-5Kbw0m7lpLDAQSX5t-fVA,5,0,0,1,"I had a wonderful experience with Dr. Mapes. I visited this office because I was experiencing tooth pain. Not only were they able to see me within an hour of my call, they were able to extract my wisdom tooth in 5 minutes! I was in and out in about 30 minutes. It was great. I was clearly nervous about having my tooth pulled unexpectedly, but Dr. Mapes was very calming and made me feel at ease. I just went back for my one-week follow-up appointment this morning and, again, was in and out super quickly (~5 minutes). Everything looked good and they sent me on my way. Great place. You even get to watch Netflix while you wait :)",10/5/2015 17:02,no,,,0.125361595,0.032703502,0.088300969,1,0.025957954
35,sDI_lGs0tyh7J8Crovu7gA,qI7F2rvvTbZ_FSr8kpKqmQ,-5Kbw0m7lpLDAQSX5t-fVA,2,8,0,0,"I went there for a cleaning only. The hygienist is quite rough, but she did a good job. The dentist was also nice enough, but they are there to SELL you. I'm 32 years old, and no one ever has suggested I might need braces. Yes, my teeth are not perfect, but it's not a huge issue if I keep up with cleanings, and I do. However she insisted I need invisalign. Um, no.\n\nI have a basic cavity I need filled, but it's not pressing. I asked how much they charge, and they said it was $350. What? That's crazy. I know their rent is high, but there are other dentists in the same neighborhood that charge much less. \n\nIf you get one of the cheap groupon deals for a cleaning, why not. But I wouldn't even consider making this place my regular dentist. I'll be going back to iSmile a few blocks away- which I also found through a groupon.",6/15/2015 19:14,no,,,0.057303497,0.134337521,0.083466898,0.025957954,1
,,,,,,,,,,,,,,,,,
